Size,SortThreshold,MergeThreshold,Type,Time(s)
10,0,0,Sorted,0.000010
100,0,0,Sorted,0.000018
1000,0,0,Sorted,0.000217
10000,0,0,Sorted,0.002491
100000,0,0,Sorted,0.038921
1000000,0,0,Sorted,0.963705
10,0,0,Reverse,0.000002
100,0,0,Reverse,0.000014
1000,0,0,Reverse,0.000152
10000,0,0,Reverse,0.002378
100000,0,0,Reverse,0.042064
1000000,0,0,Reverse,0.941759
10,0,0,Random,0.000002
100,0,0,Random,0.000015
1000,0,0,Random,0.000201
10000,0,0,Random,0.003305
100000,0,0,Random,0.041446
1000000,0,0,Random,0.688326
10,0,4,Sorted,0.000001
100,0,4,Sorted,0.000008
1000,0,4,Sorted,0.000140
10000,0,4,Sorted,0.002160
100000,0,4,Sorted,0.036374
1000000,0,4,Sorted,0.910702
10,0,4,Reverse,0.000001
100,0,4,Reverse,0.000008
1000,0,4,Reverse,0.000116
10000,0,4,Reverse,0.001769
100000,0,4,Reverse,0.034129
1000000,0,4,Reverse,0.891638
10,0,4,Random,0.000002
100,0,4,Random,0.000013
1000,0,4,Random,0.000169
10000,0,4,Random,0.002840
100000,0,4,Random,0.037909
1000000,0,4,Random,0.676885
10,0,8,Sorted,0.000001
100,0,8,Sorted,0.000008
1000,0,8,Sorted,0.000126
10000,0,8,Sorted,0.001604
100000,0,8,Sorted,0.035400
1000000,0,8,Sorted,0.845026
10,0,8,Reverse,0.000001
100,0,8,Reverse,0.000010
1000,0,8,Reverse,0.000126
10000,0,8,Reverse,0.001895
100000,0,8,Reverse,0.032736
1000000,0,8,Reverse,0.851236
10,0,8,Random,0.000001
100,0,8,Random,0.000012
1000,0,8,Random,0.000192
10000,0,8,Random,0.002908
100000,0,8,Random,0.036981
1000000,0,8,Random,0.644318
10,0,16,Sorted,0.000001
100,0,16,Sorted,0.000006
1000,0,16,Sorted,0.000066
10000,0,16,Sorted,0.002157
100000,0,16,Sorted,0.033431
1000000,0,16,Sorted,0.829943
10,0,16,Reverse,0.000001
100,0,16,Reverse,0.000007
1000,0,16,Reverse,0.000099
10000,0,16,Reverse,0.001793
100000,0,16,Reverse,0.032521
1000000,0,16,Reverse,0.847220
10,0,16,Random,0.000001
100,0,16,Random,0.000008
1000,0,16,Random,0.008006
10000,0,16,Random,0.002605
100000,0,16,Random,0.035185
1000000,0,16,Random,0.635826
10,0,32,Sorted,0.000002
100,0,32,Sorted,0.000004
1000,0,32,Sorted,0.000077
10000,0,32,Sorted,0.001270
100000,0,32,Sorted,0.033313
1000000,0,32,Sorted,0.828920
10,0,32,Reverse,0.000001
100,0,32,Reverse,0.000011
1000,0,32,Reverse,0.000116
10000,0,32,Reverse,0.001739
100000,0,32,Reverse,0.034236
1000000,0,32,Reverse,0.833490
10,0,32,Random,0.000001
100,0,32,Random,0.000011
1000,0,32,Random,0.000160
10000,0,32,Random,0.002362
100000,0,32,Random,0.033755
1000000,0,32,Random,0.642963
10,4,0,Sorted,0.000001
100,4,0,Sorted,0.000008
1000,4,0,Sorted,0.000139
10000,4,0,Sorted,0.001978
100000,4,0,Sorted,0.038263
1000000,4,0,Sorted,0.951153
10,4,0,Reverse,0.000002
100,4,0,Reverse,0.000009
1000,4,0,Reverse,0.000137
10000,4,0,Reverse,0.002339
100000,4,0,Reverse,0.041561
1000000,4,0,Reverse,0.948689
10,4,0,Random,0.000001
100,4,0,Random,0.000017
1000,4,0,Random,0.000226
10000,4,0,Random,0.003266
100000,4,0,Random,0.040210
1000000,4,0,Random,0.690664
10,4,4,Sorted,0.000001
100,4,4,Sorted,0.000009
1000,4,4,Sorted,0.000113
10000,4,4,Sorted,0.001940
100000,4,4,Sorted,0.035830
1000000,4,4,Sorted,0.889927
10,4,4,Reverse,0.000001
100,4,4,Reverse,0.000008
1000,4,4,Reverse,0.000091
10000,4,4,Reverse,0.002129
100000,4,4,Reverse,0.036438
1000000,4,4,Reverse,0.877026
10,4,4,Random,0.000001
100,4,4,Random,0.000013
1000,4,4,Random,0.000170
10000,4,4,Random,0.002834
100000,4,4,Random,0.038168
1000000,4,4,Random,0.672717
10,4,8,Sorted,0.000001
100,4,8,Sorted,0.000009
1000,4,8,Sorted,0.000122
10000,4,8,Sorted,0.001592
100000,4,8,Sorted,0.036724
1000000,4,8,Sorted,0.880355
10,4,8,Reverse,0.000001
100,4,8,Reverse,0.000005
1000,4,8,Reverse,0.000100
10000,4,8,Reverse,0.001676
100000,4,8,Reverse,0.032395
1000000,4,8,Reverse,0.873512
10,4,8,Random,0.000001
100,4,8,Random,0.000014
1000,4,8,Random,0.000211
10000,4,8,Random,0.002647
100000,4,8,Random,0.035840
1000000,4,8,Random,0.660910
10,4,16,Sorted,0.000002
100,4,16,Sorted,0.000004
1000,4,16,Sorted,0.000068
10000,4,16,Sorted,0.001367
100000,4,16,Sorted,0.031075
1000000,4,16,Sorted,0.855732
10,4,16,Reverse,0.000000
100,4,16,Reverse,0.000015
1000,4,16,Reverse,0.000078
10000,4,16,Reverse,0.001645
100000,4,16,Reverse,0.035020
1000000,4,16,Reverse,0.866084
10,4,16,Random,0.000001
100,4,16,Random,0.000014
1000,4,16,Random,0.000176
10000,4,16,Random,0.003123
100000,4,16,Random,0.034002
1000000,4,16,Random,0.623906
10,4,32,Sorted,0.000000
100,4,32,Sorted,0.000003
1000,4,32,Sorted,0.000058
10000,4,32,Sorted,0.001225
100000,4,32,Sorted,0.032336
1000000,4,32,Sorted,0.821088
10,4,32,Reverse,0.000000
100,4,32,Reverse,0.000006
1000,4,32,Reverse,0.000121
10000,4,32,Reverse,0.001659
100000,4,32,Reverse,0.031712
1000000,4,32,Reverse,0.828607
10,4,32,Random,0.000001
100,4,32,Random,0.000015
1000,4,32,Random,0.000140
10000,4,32,Random,0.002394
100000,4,32,Random,0.033507
1000000,4,32,Random,0.634663
10,8,0,Sorted,0.000001
100,8,0,Sorted,0.000007
1000,8,0,Sorted,0.000130
10000,8,0,Sorted,0.002128
100000,8,0,Sorted,0.038264
1000000,8,0,Sorted,0.937462
10,8,0,Reverse,0.000001
100,8,0,Reverse,0.000007
1000,8,0,Reverse,0.000147
10000,8,0,Reverse,0.002287
100000,8,0,Reverse,0.040057
1000000,8,0,Reverse,0.896235
10,8,0,Random,0.000002
100,8,0,Random,0.000013
1000,8,0,Random,0.000198
10000,8,0,Random,0.003434
100000,8,0,Random,0.039070
1000000,8,0,Random,0.676147
10,8,4,Sorted,0.000002
100,8,4,Sorted,0.000009
1000,8,4,Sorted,0.000093
10000,8,4,Sorted,0.001733
100000,8,4,Sorted,0.035159
1000000,8,4,Sorted,0.898096
10,8,4,Reverse,0.000001
100,8,4,Reverse,0.000006
1000,8,4,Reverse,0.000112
10000,8,4,Reverse,0.001880
100000,8,4,Reverse,0.036845
1000000,8,4,Reverse,0.887510
10,8,4,Random,0.000001
100,8,4,Random,0.007752
1000,8,4,Random,0.000281
10000,8,4,Random,0.002954
100000,8,4,Random,0.037163
1000000,8,4,Random,0.665532
10,8,8,Sorted,0.000001
100,8,8,Sorted,0.000016
1000,8,8,Sorted,0.000107
10000,8,8,Sorted,0.001744
100000,8,8,Sorted,0.033102
1000000,8,8,Sorted,0.876106
10,8,8,Reverse,0.000001
100,8,8,Reverse,0.000007
1000,8,8,Reverse,0.000101
10000,8,8,Reverse,0.001651
100000,8,8,Reverse,0.037896
1000000,8,8,Reverse,0.872433
10,8,8,Random,0.000001
100,8,8,Random,0.000010
1000,8,8,Random,0.000178
10000,8,8,Random,0.002453
100000,8,8,Random,0.036097
1000000,8,8,Random,0.649041
10,8,16,Sorted,0.000000
100,8,16,Sorted,0.000004
1000,8,16,Sorted,0.000075
10000,8,16,Sorted,0.001804
100000,8,16,Sorted,0.033810
1000000,8,16,Sorted,0.858165
10,8,16,Reverse,0.000000
100,8,16,Reverse,0.000005
1000,8,16,Reverse,0.000098
10000,8,16,Reverse,0.001631
100000,8,16,Reverse,0.030787
1000000,8,16,Reverse,0.874873
10,8,16,Random,0.000001
100,8,16,Random,0.000008
1000,8,16,Random,0.000159
10000,8,16,Random,0.002445
100000,8,16,Random,0.032884
1000000,8,16,Random,0.625081
10,8,32,Sorted,0.000000
100,8,32,Sorted,0.000006
1000,8,32,Sorted,0.000101
10000,8,32,Sorted,0.001214
100000,8,32,Sorted,0.033180
1000000,8,32,Sorted,0.838898
10,8,32,Reverse,0.000001
100,8,32,Reverse,0.000009
1000,8,32,Reverse,0.000144
10000,8,32,Reverse,0.001842
100000,8,32,Reverse,0.033573
1000000,8,32,Reverse,0.815291
10,8,32,Random,0.000000
100,8,32,Random,0.000015
1000,8,32,Random,0.000135
10000,8,32,Random,0.002399
100000,8,32,Random,0.033998
1000000,8,32,Random,0.642746
10,16,0,Sorted,0.000004
100,16,0,Sorted,0.000016
1000,16,0,Sorted,0.000145
10000,16,0,Sorted,0.002098
100000,16,0,Sorted,0.038736
1000000,16,0,Sorted,0.938804
10,16,0,Reverse,0.000002
100,16,0,Reverse,0.000009
1000,16,0,Reverse,0.000121
10000,16,0,Reverse,0.005895
100000,16,0,Reverse,0.038606
1000000,16,0,Reverse,0.956145
10,16,0,Random,0.000001
100,16,0,Random,0.000013
1000,16,0,Random,0.000193
10000,16,0,Random,0.003052
100000,16,0,Random,0.038212
1000000,16,0,Random,0.687780
10,16,4,Sorted,0.000001
100,16,4,Sorted,0.000009
1000,16,4,Sorted,0.000125
10000,16,4,Sorted,0.002004
100000,16,4,Sorted,0.036095
1000000,16,4,Sorted,0.891386
10,16,4,Reverse,0.000000
100,16,4,Reverse,0.000008
1000,16,4,Reverse,0.000094
10000,16,4,Reverse,0.001999
100000,16,4,Reverse,0.035105
1000000,16,4,Reverse,0.877529
10,16,4,Random,0.000000
100,16,4,Random,0.000011
1000,16,4,Random,0.000237
10000,16,4,Random,0.002867
100000,16,4,Random,0.038623
1000000,16,4,Random,0.669735
10,16,8,Sorted,0.000000
100,16,8,Sorted,0.000005
1000,16,8,Sorted,0.000152
10000,16,8,Sorted,0.001756
100000,16,8,Sorted,0.036997
1000000,16,8,Sorted,0.891952
10,16,8,Reverse,0.000001
100,16,8,Reverse,0.000011
1000,16,8,Reverse,0.000100
10000,16,8,Reverse,0.001823
100000,16,8,Reverse,0.038483
1000000,16,8,Reverse,0.869373
10,16,8,Random,0.000001
100,16,8,Random,0.000012
1000,16,8,Random,0.000208
10000,16,8,Random,0.002761
100000,16,8,Random,0.035267
1000000,16,8,Random,0.660029
10,16,16,Sorted,0.000000
100,16,16,Sorted,0.000010
1000,16,16,Sorted,0.000086
10000,16,16,Sorted,0.001599
100000,16,16,Sorted,0.032563
1000000,16,16,Sorted,0.860925
10,16,16,Reverse,0.000000
100,16,16,Reverse,0.000008
1000,16,16,Reverse,0.000109
10000,16,16,Reverse,0.002508
100000,16,16,Reverse,0.032934
1000000,16,16,Reverse,0.837890
10,16,16,Random,0.000001
100,16,16,Random,0.000010
1000,16,16,Random,0.000134
10000,16,16,Random,0.002322
100000,16,16,Random,0.032975
1000000,16,16,Random,0.644712
10,16,32,Sorted,0.000000
100,16,32,Sorted,0.000004
1000,16,32,Sorted,0.000073
10000,16,32,Sorted,0.001425
100000,16,32,Sorted,0.031486
1000000,16,32,Sorted,0.822458
10,16,32,Reverse,0.000000
100,16,32,Reverse,0.000006
1000,16,32,Reverse,0.000124
10000,16,32,Reverse,0.001817
100000,16,32,Reverse,0.030071
1000000,16,32,Reverse,0.831864
10,16,32,Random,0.000001
100,16,32,Random,0.000012
1000,16,32,Random,0.000146
10000,16,32,Random,0.002332
100000,16,32,Random,0.032599
1000000,16,32,Random,0.641432
10,32,0,Sorted,0.000000
100,32,0,Sorted,0.000012
1000,32,0,Sorted,0.000120
10000,32,0,Sorted,0.002092
100000,32,0,Sorted,0.037750
1000000,32,0,Sorted,0.939496
10,32,0,Reverse,0.000001
100,32,0,Reverse,0.000010
1000,32,0,Reverse,0.000147
10000,32,0,Reverse,0.002563
100000,32,0,Reverse,0.041568
1000000,32,0,Reverse,0.931208
10,32,0,Random,0.000002
100,32,0,Random,0.000022
1000,32,0,Random,0.000230
10000,32,0,Random,0.003092
100000,32,0,Random,0.038096
1000000,32,0,Random,0.688795
10,32,4,Sorted,0.000001
100,32,4,Sorted,0.000009
1000,32,4,Sorted,0.000144
10000,32,4,Sorted,0.001901
100000,32,4,Sorted,0.033744
1000000,32,4,Sorted,0.899007
10,32,4,Reverse,0.000001
100,32,4,Reverse,0.000012
1000,32,4,Reverse,0.000121
10000,32,4,Reverse,0.002378
100000,32,4,Reverse,0.033848
1000000,32,4,Reverse,0.881478
10,32,4,Random,0.000001
100,32,4,Random,0.000012
1000,32,4,Random,0.000219
10000,32,4,Random,0.002817
100000,32,4,Random,0.036898
1000000,32,4,Random,0.675100
10,32,8,Sorted,0.000002
100,32,8,Sorted,0.000006
1000,32,8,Sorted,0.000087
10000,32,8,Sorted,0.002270
100000,32,8,Sorted,0.035649
1000000,32,8,Sorted,0.872876
10,32,8,Reverse,0.000001
100,32,8,Reverse,0.000007
1000,32,8,Reverse,0.000109
10000,32,8,Reverse,0.004380
100000,32,8,Reverse,0.031144
1000000,32,8,Reverse,0.867371
10,32,8,Random,0.000001
100,32,8,Random,0.000014
1000,32,8,Random,0.000148
10000,32,8,Random,0.002783
100000,32,8,Random,0.036436
1000000,32,8,Random,0.655103
10,32,16,Sorted,0.000000
100,32,16,Sorted,0.000005
1000,32,16,Sorted,0.000087
10000,32,16,Sorted,0.001659
100000,32,16,Sorted,0.033892
1000000,32,16,Sorted,0.862357
10,32,16,Reverse,0.000000
100,32,16,Reverse,0.000007
1000,32,16,Reverse,0.000107
10000,32,16,Reverse,0.001703
100000,32,16,Reverse,0.035829
1000000,32,16,Reverse,0.847130
10,32,16,Random,0.000000
100,32,16,Random,0.000007
1000,32,16,Random,0.000140
10000,32,16,Random,0.002792
100000,32,16,Random,0.035978
1000000,32,16,Random,0.635140
10,32,32,Sorted,0.000000
100,32,32,Sorted,0.000004
1000,32,32,Sorted,0.000070
10000,32,32,Sorted,0.001287
100000,32,32,Sorted,0.036813
1000000,32,32,Sorted,0.831863
10,32,32,Reverse,0.000000
100,32,32,Reverse,0.000007
1000,32,32,Reverse,0.000101
10000,32,32,Reverse,0.001451
100000,32,32,Reverse,0.033605
1000000,32,32,Reverse,0.783905
10,32,32,Random,0.000000
100,32,32,Random,0.000007
1000,32,32,Random,0.000132
10000,32,32,Random,0.002527
100000,32,32,Random,0.033920
1000000,32,32,Random,0.643957
10,64,0,Sorted,0.000000
100,64,0,Sorted,0.000009
1000,64,0,Sorted,0.000120
10000,64,0,Sorted,0.002201
100000,64,0,Sorted,0.037172
1000000,64,0,Sorted,0.933237
10,64,0,Reverse,0.000000
100,64,0,Reverse,0.000010
1000,64,0,Reverse,0.000143
10000,64,0,Reverse,0.004800
100000,64,0,Reverse,0.041196
1000000,64,0,Reverse,0.959937
10,64,0,Random,0.000001
100,64,0,Random,0.000015
1000,64,0,Random,0.000202
10000,64,0,Random,0.003084
100000,64,0,Random,0.037654
1000000,64,0,Random,0.696205
10,64,4,Sorted,0.000000
100,64,4,Sorted,0.000006
1000,64,4,Sorted,0.000098
10000,64,4,Sorted,0.001825
100000,64,4,Sorted,0.038421
1000000,64,4,Sorted,0.879451
10,64,4,Reverse,0.000001
100,64,4,Reverse,0.000008
1000,64,4,Reverse,0.000122
10000,64,4,Reverse,0.001977
100000,64,4,Reverse,0.037111
1000000,64,4,Reverse,0.888033
10,64,4,Random,0.000000
100,64,4,Random,0.000071
1000,64,4,Random,0.000206
10000,64,4,Random,0.002878
100000,64,4,Random,0.035075
1000000,64,4,Random,0.669015
10,64,8,Sorted,0.000001
100,64,8,Sorted,0.000009
1000,64,8,Sorted,0.000102
10000,64,8,Sorted,0.001661
100000,64,8,Sorted,0.036287
1000000,64,8,Sorted,0.874184
10,64,8,Reverse,0.000000
100,64,8,Reverse,0.000005
1000,64,8,Reverse,0.000115
10000,64,8,Reverse,0.001874
100000,64,8,Reverse,0.033894
1000000,64,8,Reverse,0.856536
10,64,8,Random,0.000002
100,64,8,Random,0.000012
1000,64,8,Random,0.000182
10000,64,8,Random,0.003570
100000,64,8,Random,0.036121
1000000,64,8,Random,0.666549
10,64,16,Sorted,0.000000
100,64,16,Sorted,0.000006
1000,64,16,Sorted,0.000103
10000,64,16,Sorted,0.008818
100000,64,16,Sorted,0.033054
1000000,64,16,Sorted,0.919510
10,64,16,Reverse,0.000001
100,64,16,Reverse,0.000008
1000,64,16,Reverse,0.000126
10000,64,16,Reverse,0.001922
100000,64,16,Reverse,0.040033
1000000,64,16,Reverse,0.887980
10,64,16,Random,0.000002
100,64,16,Random,0.000012
1000,64,16,Random,0.000170
10000,64,16,Random,0.002393
100000,64,16,Random,0.035109
1000000,64,16,Random,0.644631
10,64,32,Sorted,0.000000
100,64,32,Sorted,0.000003
1000,64,32,Sorted,0.000055
10000,64,32,Sorted,0.001405
100000,64,32,Sorted,0.031204
1000000,64,32,Sorted,0.832171
10,64,32,Reverse,0.000000
100,64,32,Reverse,0.000005
1000,64,32,Reverse,0.000100
10000,64,32,Reverse,0.001583
100000,64,32,Reverse,0.032539
1000000,64,32,Reverse,0.842689
10,64,32,Random,0.000001
100,64,32,Random,0.000013
1000,64,32,Random,0.000177
10000,64,32,Random,0.002545
100000,64,32,Random,0.032323
1000000,64,32,Random,0.644414
